id;name;unit;old_category;new_category;level;money_60d;merge_into
72;Кинза;пучок;зелень;зелень;мелочь;1390;
70;Укроп;пучок;зелень;зелень;мелочь;1270;
71;Петрушка;пучок;зелень;зелень;мелочь;500;
239;Зелень;пучок;зелень;зелень;мелочь;0;
232;Мелисса сушеная;кг;зелень;зелень;мелочь;0;
231;Мята свежая;кг;зелень;зелень;мелочь;0;
280;букварь;шт;;канцелярия;мелочь;5400;
290;цвет карандаш;шт;;канцелярия;мелочь;4600;
299;пластилин;шт;;канцелярия;мелочь;3240;
286;карандаш;шт;;канцелярия;мелочь;2790;
281;ручка;шт;;канцелярия;мелочь;2700;
284;батман;шт;;канцелярия;мелочь;2200;
233;краска для принтера;шт;;канцелярия;мелочь;1948;
288;ластик;шт;;канцелярия;мелочь;1620;
287;Линейка;шт;;канцелярия;мелочь;1545;
264;наклейки для садика;шт;;канцелярия;мелочь;1500;
291;цв.карандаш;шт;;канцелярия;мелочь;1320;290
285;точилка;шт;;канцелярия;мелочь;1296;
300;мел белый;шт;;канцелярия;мелочь;1200;
307;магнит;шт;;канцелярия;мелочь;1000;
293;пва;шт;;канцелярия;мелочь;1000;
261;ароматизатор;шт;;канцелярия;мелочь;720;
324;журнал;шт;;канцелярия;мелочь;720;
294;шар бел;шт;;канцелярия;мелочь;720;278
340;пресс нити;уп;;канцелярия;мелочь;500;
277;флажок;шт;;канцелярия;мелочь;500;
305;калькулятор;шт;;канцелярия;мелочь;480;
297;махер;шт;;канцелярия;мелочь;470;
301;мел цвет;шт;;канцелярия;мелочь;450;
298;гуаш;шт;;канцелярия;мелочь;400;
289;циркуль;шт;;канцелярия;мелочь;300;
278;шар;шт;;канцелярия;мелочь;300;
245;тетрадь общий;шт;;канцелярия;мелочь;220;
283;тачилка;уп;;канцелярия;мелочь;200;285
312;тетрадь;шт;;канцелярия;мелочь;200;
268;нить;шт;;канцелярия;мелочь;180;
302;маркер;шт;;канцелярия;мелочь;135;
296;альбом;шт;;канцелярия;мелочь;100;
279;шар гелев;шт;;канцелярия;мелочь;100;278
295;кундолук;шт;;канцелярия;мелочь;80;
282;ручка максер;уп;;канцелярия;мелочь;70;
309;красная руч;шт;;канцелярия;мелочь;45;
292;руч.карандаш;шт;;канцелярия;мелочь;45;
306;ножницы;шт;;канцелярия;мелочь;35;
303;кнопка;шт;;канцелярия;мелочь;25;
272;Турецский;шт;;моющее и инвентарь;мелочь;7600;
184;Веник;шт;бытовая химия;моющее и инвентарь;мелочь;5700;
273;коврик;шт;;моющее и инвентарь;мелочь;2400;
256;водомосьемка;шт;;моющее и инвентарь;мелочь;1950;
156;Губка;шт;бытовая химия;моющее и инвентарь;мелочь;1744;
